Time: 0.00, UAV: 5, X: 0.00, Y: 0.00, Azimuth: 45.00

Time: 0.10, UAV: 5, X: 0.88, Y: 0.88, Azimuth: 45.00

Time: 0.20, UAV: 5, X: 1.77, Y: 1.77, Azimuth: 45.00

Time: 0.30, UAV: 5, X: 2.65, Y: 2.65, Azimuth: 45.00

Time: 0.40, UAV: 5, X: 3.54, Y: 3.54, Azimuth: 45.00

Time: 0.50, UAV: 5, X: 4.42, Y: 4.42, Azimuth: 45.00

Time: 0.60, UAV: 5, X: 5.30, Y: 5.30, Azimuth: 45.00

Time: 0.70, UAV: 5, X: 6.19, Y: 6.19, Azimuth: 45.00

Time: 0.80, UAV: 5, X: 7.07, Y: 7.07, Azimuth: 45.00

Time: 0.90, UAV: 5, X: 7.95, Y: 7.95, Azimuth: 45.00

Time: 1.00, UAV: 5, X: 8.84, Y: 8.84, Azimuth: 45.00

Time: 1.10, UAV: 5, X: 9.72, Y: 9.72, Azimuth: 45.00

Time: 1.20, UAV: 5, X: 10.61, Y: 10.61, Azimuth: 45.00

Time: 1.30, UAV: 5, X: 11.49, Y: 11.49, Azimuth: 45.00

Time: 1.40, UAV: 5, X: 12.37, Y: 12.37, Azimuth: 45.00

Time: 1.50, UAV: 5, X: 13.26, Y: 13.26, Azimuth: 45.00

Time: 1.60, UAV: 5, X: 14.14, Y: 14.14, Azimuth: 45.00

Time: 1.70, UAV: 5, X: 15.03, Y: 15.03, Azimuth: 45.00

Time: 1.80, UAV: 5, X: 15.91, Y: 15.91, Azimuth: 45.00

Time: 1.90, UAV: 5, X: 16.79, Y: 16.79, Azimuth: 45.00

Time: 2.00, UAV: 5, X: 17.68, Y: 17.68, Azimuth: 45.00

Time: 2.10, UAV: 5, X: 18.56, Y: 18.56, Azimuth: 45.00

Time: 2.20, UAV: 5, X: 19.45, Y: 19.45, Azimuth: 45.00

Time: 2.30, UAV: 5, X: 20.33, Y: 20.33, Azimuth: 45.00

Time: 2.40, UAV: 5, X: 21.21, Y: 21.21, Azimuth: 45.00

Time: 2.50, UAV: 5, X: 22.10, Y: 22.10, Azimuth: 45.00

Time: 2.60, UAV: 5, X: 22.98, Y: 22.98, Azimuth: 45.00

Time: 2.70, UAV: 5, X: 23.86, Y: 23.86, Azimuth: 45.00

Time: 2.80, UAV: 5, X: 24.75, Y: 24.75, Azimuth: 45.00

Time: 2.90, UAV: 5, X: 25.63, Y: 25.63, Azimuth: 45.00

Time: 3.00, UAV: 5, X: 26.52, Y: 26.52, Azimuth: 45.00

Time: 3.10, UAV: 5, X: 27.40, Y: 27.40, Azimuth: 45.00

Time: 3.20, UAV: 5, X: 28.28, Y: 28.28, Azimuth: 45.00

Time: 3.30, UAV: 5, X: 29.17, Y: 29.17, Azimuth: 45.00

Time: 3.40, UAV: 5, X: 30.05, Y: 30.05, Azimuth: 45.00

Time: 3.50, UAV: 5, X: 30.94, Y: 30.94, Azimuth: 45.00

Time: 3.60, UAV: 5, X: 31.82, Y: 31.82, Azimuth: 45.00

Time: 3.70, UAV: 5, X: 32.70, Y: 32.70, Azimuth: 45.00

Time: 3.80, UAV: 5, X: 33.59, Y: 33.59, Azimuth: 45.00

Time: 3.90, UAV: 5, X: 34.47, Y: 34.47, Azimuth: 45.00

Time: 4.00, UAV: 5, X: 35.36, Y: 35.36, Azimuth: 45.00

Time: 4.10, UAV: 5, X: 36.24, Y: 36.24, Azimuth: 45.00

Time: 4.20, UAV: 5, X: 37.12, Y: 37.12, Azimuth: 45.00

Time: 4.30, UAV: 5, X: 38.01, Y: 38.01, Azimuth: 45.00

Time: 4.40, UAV: 5, X: 38.89, Y: 38.89, Azimuth: 45.00

Time: 4.50, UAV: 5, X: 39.77, Y: 39.77, Azimuth: 45.00

Time: 4.60, UAV: 5, X: 40.66, Y: 40.66, Azimuth: 45.00

Time: 4.70, UAV: 5, X: 41.54, Y: 41.54, Azimuth: 45.00

Time: 4.80, UAV: 5, X: 42.43, Y: 42.43, Azimuth: 45.00

Time: 4.90, UAV: 5, X: 43.31, Y: 43.31, Azimuth: 45.00

Time: 5.00, UAV: 5, X: 44.19, Y: 44.19, Azimuth: 45.00

Time: 5.10, UAV: 5, X: 45.08, Y: 45.08, Azimuth: 45.00

Time: 5.20, UAV: 5, X: 45.96, Y: 45.96, Azimuth: 45.00

Time: 5.30, UAV: 5, X: 46.85, Y: 46.85, Azimuth: 45.00

Time: 5.40, UAV: 5, X: 47.73, Y: 47.73, Azimuth: 45.00

Time: 5.50, UAV: 5, X: 48.61, Y: 48.61, Azimuth: 45.00

Time: 5.60, UAV: 5, X: 49.50, Y: 49.50, Azimuth: 45.00

Time: 5.70, UAV: 5, X: 50.38, Y: 50.38, Azimuth: 45.00

Time: 5.80, UAV: 5, X: 51.27, Y: 51.27, Azimuth: 45.00

Time: 5.90, UAV: 5, X: 52.15, Y: 52.15, Azimuth: 45.00

Time: 6.00, UAV: 5, X: 53.03, Y: 53.03, Azimuth: 45.00

Time: 6.10, UAV: 5, X: 53.92, Y: 53.92, Azimuth: 45.00

Time: 6.20, UAV: 5, X: 54.80, Y: 54.80, Azimuth: 45.00

Time: 6.30, UAV: 5, X: 55.68, Y: 55.68, Azimuth: 45.00

Time: 6.40, UAV: 5, X: 56.57, Y: 56.57, Azimuth: 45.00

Time: 6.50, UAV: 5, X: 57.45, Y: 57.45, Azimuth: 45.00

Time: 6.60, UAV: 5, X: 58.34, Y: 58.34, Azimuth: 45.00

Time: 6.70, UAV: 5, X: 59.22, Y: 59.22, Azimuth: 45.00

Time: 6.80, UAV: 5, X: 60.10, Y: 60.10, Azimuth: 45.00

