Time: 0.00, UAV: 6, X: 10.00, Y: 20.00, Azimuth: 30.00

Time: 1.00, UAV: 6, X: 20.83, Y: 26.25, Azimuth: 30.00

Time: 2.00, UAV: 6, X: 31.65, Y: 32.50, Azimuth: 30.00

Time: 3.00, UAV: 6, X: 42.48, Y: 38.75, Azimuth: 30.00

Time: 4.00, UAV: 6, X: 32.68, Y: 30.98, Azimuth: 218.41

Time: 5.00, UAV: 6, X: 22.89, Y: 23.22, Azimuth: 218.41

Time: 6.00, UAV: 6, X: 28.54, Y: 24.84, Azimuth: 212.55

Time: 7.00, UAV: 6, X: 19.26, Y: 32.96, Azimuth: 245.11

Time: 8.00, UAV: 6, X: 7.07, Y: 34.80, Azimuth: 277.66

Time: 9.00, UAV: 6, X: -4.21, Y: 29.80, Azimuth: 310.22

Time: 10.00, UAV: 6, X: -11.01, Y: 19.52, Azimuth: 342.77

Time: 11.00, UAV: 6, X: -11.22, Y: 7.18, Azimuth: 15.33

Time: 12.00, UAV: 6, X: -4.75, Y: -3.32, Azimuth: 47.88

Time: 13.00, UAV: 6, X: 6.34, Y: -8.69, Azimuth: 80.44

Time: 14.00, UAV: 6, X: 18.59, Y: -7.25, Azimuth: 112.99

Time: 15.00, UAV: 6, X: 28.14, Y: 0.55, Azimuth: 145.54

Time: 16.00, UAV: 6, X: 31.99, Y: 12.27, Azimuth: 178.10

Time: 17.00, UAV: 6, X: 28.93, Y: 24.22, Azimuth: 210.65

Time: 18.00, UAV: 6, X: 19.92, Y: 32.64, Azimuth: 243.21

Time: 19.00, UAV: 6, X: 7.79, Y: 34.89, Azimuth: 275.76

Time: 20.00, UAV: 6, X: -3.64, Y: 30.26, Azimuth: 308.32

Time: 21.00, UAV: 6, X: -10.79, Y: 20.21, Azimuth: 340.87

Time: 22.00, UAV: 6, X: -11.40, Y: 7.89, Azimuth: 13.43

Time: 23.00, UAV: 6, X: -5.29, Y: -2.82, Azimuth: 45.98

Time: 24.00, UAV: 6, X: 5.63, Y: -8.56, Azimuth: 78.53

Time: 25.00, UAV: 6, X: 17.92, Y: -7.53, Azimuth: 111.09

Time: 26.00, UAV: 6, X: 27.72, Y: -0.04, Azimuth: 143.64

Time: 27.00, UAV: 6, X: 31.95, Y: 11.54, Azimuth: 176.20

Time: 28.00, UAV: 6, X: 29.29, Y: 23.58, Azimuth: 208.75

Time: 29.00, UAV: 6, X: 20.56, Y: 32.30, Azimuth: 241.31

Time: 30.00, UAV: 6, X: 8.52, Y: 34.95, Azimuth: 273.86

Time: 31.00, UAV: 6, X: -3.06, Y: 30.70, Azimuth: 306.41

Time: 32.00, UAV: 6, X: -10.53, Y: 20.90, Azimuth: 338.97

Time: 33.00, UAV: 6, X: -11.56, Y: 8.60, Azimuth: 11.52

Time: 34.00, UAV: 6, X: -5.80, Y: -2.30, Azimuth: 44.08

Time: 35.00, UAV: 6, X: 4.91, Y: -8.40, Azimuth: 76.63

Time: 36.00, UAV: 6, X: 17.23, Y: -7.78, Azimuth: 109.19

Time: 37.00, UAV: 6, X: 27.27, Y: -0.62, Azimuth: 141.74

Time: 38.00, UAV: 6, X: 31.89, Y: 10.81, Azimuth: 174.30

Time: 39.00, UAV: 6, X: 29.63, Y: 22.94, Azimuth: 206.85

Time: 40.00, UAV: 6, X: 21.20, Y: 31.94, Azimuth: 239.40

Time: 41.00, UAV: 6, X: 9.25, Y: 34.99, Azimuth: 271.96

Time: 42.00, UAV: 6, X: -2.47, Y: 31.13, Azimuth: 304.51

Time: 43.00, UAV: 6, X: -10.26, Y: 21.57, Azimuth: 337.07

Time: 44.00, UAV: 6, X: -11.69, Y: 9.32, Azimuth: 9.62

Time: 45.00, UAV: 6, X: -6.30, Y: -1.77, Azimuth: 42.18

Time: 46.00, UAV: 6, X: 4.21, Y: -8.22, Azimuth: 74.73

Time: 47.00, UAV: 6, X: 16.54, Y: -8.01, Azimuth: 107.29

Time: 48.00, UAV: 6, X: 26.81, Y: -1.19, Azimuth: 139.84

Time: 49.00, UAV: 6, X: 31.81, Y: 10.09, Azimuth: 172.39

Time: 50.00, UAV: 6, X: 29.95, Y: 22.28, Azimuth: 204.95

Time: 51.00, UAV: 6, X: 21.82, Y: 31.56, Azimuth: 237.50

Time: 52.00, UAV: 6, X: 9.98, Y: 35.00, Azimuth: 270.06

Time: 53.00, UAV: 6, X: -1.86, Y: 31.53, Azimuth: 302.61

Time: 54.00, UAV: 6, X: -9.97, Y: 22.24, Azimuth: 335.17

Time: 55.00, UAV: 6, X: -11.80, Y: 10.04, Azimuth: 7.72

Time: 56.00, UAV: 6, X: -6.78, Y: -1.22, Azimuth: 40.28

Time: 57.00, UAV: 6, X: 3.51, Y: -8.02, Azimuth: 72.83

Time: 58.00, UAV: 6, X: 15.84, Y: -8.21, Azimuth: 105.38

Time: 59.00, UAV: 6, X: 26.33, Y: -1.74, Azimuth: 137.94

Time: 60.00, UAV: 6, X: 31.70, Y: 9.37, Azimuth: 170.49

