Time: 0.00, UAV: 4, X: 10.00, Y: 20.00, Azimuth: 30.00

Time: 1.00, UAV: 4, X: 20.83, Y: 26.25, Azimuth: 30.00

Time: 2.00, UAV: 4, X: 31.65, Y: 32.50, Azimuth: 30.00

Time: 3.00, UAV: 4, X: 42.48, Y: 38.75, Azimuth: 30.00

Time: 4.00, UAV: 4, X: 53.30, Y: 45.00, Azimuth: 30.00

Time: 5.00, UAV: 4, X: 64.13, Y: 51.25, Azimuth: 30.00

Time: 6.00, UAV: 4, X: 74.95, Y: 57.50, Azimuth: 30.00

Time: 7.00, UAV: 4, X: 85.78, Y: 63.75, Azimuth: 30.00

Time: 8.00, UAV: 4, X: 73.71, Y: 60.50, Azimuth: 195.09

Time: 9.00, UAV: 4, X: 61.64, Y: 57.24, Azimuth: 195.09

Time: 10.00, UAV: 4, X: 49.57, Y: 53.99, Azimuth: 195.09

Time: 11.00, UAV: 4, X: 37.50, Y: 50.74, Azimuth: 195.09

Time: 12.00, UAV: 4, X: 25.43, Y: 47.48, Azimuth: 195.09

Time: 13.00, UAV: 4, X: 13.36, Y: 44.23, Azimuth: 195.09

Time: 14.00, UAV: 4, X: 1.29, Y: 40.98, Azimuth: 195.09

Time: 15.00, UAV: 4, X: -10.78, Y: 37.72, Azimuth: 195.09

Time: 16.00, UAV: 4, X: -13.46, Y: 43.84, Azimuth: 212.55

Time: 17.00, UAV: 4, X: -22.74, Y: 51.96, Azimuth: 245.11

Time: 18.00, UAV: 4, X: -34.93, Y: 53.80, Azimuth: 277.66

Time: 19.00, UAV: 4, X: -46.21, Y: 48.80, Azimuth: 310.22

Time: 20.00, UAV: 4, X: -53.01, Y: 38.52, Azimuth: 342.77

Time: 21.00, UAV: 4, X: -53.22, Y: 26.18, Azimuth: 15.33

Time: 22.00, UAV: 4, X: -46.75, Y: 15.68, Azimuth: 47.88

Time: 23.00, UAV: 4, X: -35.66, Y: 10.31, Azimuth: 80.44

Time: 24.00, UAV: 4, X: 40.59, Y: -2.25, Azimuth: 112.99

Time: 25.00, UAV: 4, X: 50.14, Y: 5.55, Azimuth: 145.54

Time: 26.00, UAV: 4, X: 53.99, Y: 17.27, Azimuth: 178.10

Time: 27.00, UAV: 4, X: 50.93, Y: 29.22, Azimuth: 210.65

Time: 28.00, UAV: 4, X: 41.92, Y: 37.64, Azimuth: 243.21

Time: 29.00, UAV: 4, X: 29.79, Y: 39.89, Azimuth: 275.76

Time: 30.00, UAV: 4, X: 18.36, Y: 35.26, Azimuth: 308.32

Time: 31.00, UAV: 4, X: 11.21, Y: 25.21, Azimuth: 340.87

Time: 32.00, UAV: 4, X: 10.60, Y: 12.89, Azimuth: 13.43

Time: 33.00, UAV: 4, X: 16.71, Y: 2.18, Azimuth: 45.98

Time: 34.00, UAV: 4, X: 27.63, Y: -3.56, Azimuth: 78.53

Time: 35.00, UAV: 4, X: 39.92, Y: -2.53, Azimuth: 111.09

Time: 36.00, UAV: 4, X: 49.72, Y: 4.96, Azimuth: 143.64

Time: 37.00, UAV: 4, X: 53.95, Y: 16.54, Azimuth: 176.20

Time: 38.00, UAV: 4, X: 51.29, Y: 28.58, Azimuth: 208.75

Time: 39.00, UAV: 4, X: 42.56, Y: 37.30, Azimuth: 241.31

Time: 40.00, UAV: 4, X: 30.52, Y: 39.95, Azimuth: 273.86

Time: 41.00, UAV: 4, X: 18.94, Y: 35.70, Azimuth: 306.41

Time: 42.00, UAV: 4, X: 11.47, Y: 25.90, Azimuth: 338.97

Time: 43.00, UAV: 4, X: 10.44, Y: 13.60, Azimuth: 11.52

Time: 44.00, UAV: 4, X: 16.20, Y: 2.70, Azimuth: 44.08

Time: 45.00, UAV: 4, X: 26.91, Y: -3.40, Azimuth: 76.63

Time: 46.00, UAV: 4, X: 39.23, Y: -2.78, Azimuth: 109.19

Time: 47.00, UAV: 4, X: 49.27, Y: 4.38, Azimuth: 141.74

Time: 48.00, UAV: 4, X: 53.89, Y: 15.81, Azimuth: 174.30

Time: 49.00, UAV: 4, X: 51.63, Y: 27.94, Azimuth: 206.85

Time: 50.00, UAV: 4, X: 43.20, Y: 36.94, Azimuth: 239.40

Time: 51.00, UAV: 4, X: 31.25, Y: 39.99, Azimuth: 271.96

Time: 52.00, UAV: 4, X: 19.53, Y: 36.13, Azimuth: 304.51

Time: 53.00, UAV: 4, X: 11.74, Y: 26.57, Azimuth: 337.07

Time: 54.00, UAV: 4, X: 10.31, Y: 14.32, Azimuth: 9.62

Time: 55.00, UAV: 4, X: 15.70, Y: 3.23, Azimuth: 42.18

Time: 56.00, UAV: 4, X: 26.21, Y: -3.22, Azimuth: 74.73

Time: 57.00, UAV: 4, X: 38.54, Y: -3.01, Azimuth: 107.29

Time: 58.00, UAV: 4, X: 48.81, Y: 3.81, Azimuth: 139.84

Time: 59.00, UAV: 4, X: 53.81, Y: 15.09, Azimuth: 172.39

Time: 60.00, UAV: 4, X: 51.95, Y: 27.28, Azimuth: 204.95

