Time: 0.00, UAV: 1, X: 0.00, Y: 0.00, Azimuth: 45.00

Time: 0.10, UAV: 1, X: 0.07, Y: 0.07, Azimuth: 45.00

Time: 0.20, UAV: 1, X: 0.14, Y: 0.14, Azimuth: 45.00

Time: 0.30, UAV: 1, X: 0.21, Y: 0.21, Azimuth: 45.00

Time: 0.40, UAV: 1, X: 0.28, Y: 0.28, Azimuth: 45.00

Time: 0.50, UAV: 1, X: 0.35, Y: 0.35, Azimuth: 45.00

Time: 0.60, UAV: 1, X: 0.42, Y: 0.42, Azimuth: 45.00

Time: 0.70, UAV: 1, X: 0.49, Y: 0.49, Azimuth: 45.00

Time: 0.80, UAV: 1, X: 0.57, Y: 0.57, Azimuth: 45.00

Time: 0.90, UAV: 1, X: 0.64, Y: 0.64, Azimuth: 45.00

Time: 1.00, UAV: 1, X: 0.71, Y: 0.71, Azimuth: 45.00

Time: 1.10, UAV: 1, X: 0.78, Y: 0.78, Azimuth: 45.00

Time: 1.20, UAV: 1, X: 0.85, Y: 0.85, Azimuth: 45.00

Time: 1.30, UAV: 1, X: 0.92, Y: 0.92, Azimuth: 45.00

Time: 1.40, UAV: 1, X: 0.99, Y: 0.99, Azimuth: 45.00

Time: 1.50, UAV: 1, X: 1.06, Y: 1.06, Azimuth: 45.00

Time: 1.60, UAV: 1, X: 1.13, Y: 1.13, Azimuth: 45.00

Time: 1.70, UAV: 1, X: 1.20, Y: 1.20, Azimuth: 45.00

Time: 1.80, UAV: 1, X: 1.27, Y: 1.27, Azimuth: 45.00

Time: 1.90, UAV: 1, X: 1.34, Y: 1.34, Azimuth: 45.00

Time: 2.00, UAV: 1, X: 1.41, Y: 1.41, Azimuth: 45.00

Time: 2.10, UAV: 1, X: 1.48, Y: 1.48, Azimuth: 45.00

Time: 2.20, UAV: 1, X: 1.56, Y: 1.56, Azimuth: 45.00

Time: 2.30, UAV: 1, X: 1.63, Y: 1.63, Azimuth: 45.00

Time: 2.40, UAV: 1, X: 1.70, Y: 1.70, Azimuth: 45.00

Time: 2.50, UAV: 1, X: 1.77, Y: 1.77, Azimuth: 45.00

Time: 2.60, UAV: 1, X: 1.84, Y: 1.84, Azimuth: 45.00

Time: 2.70, UAV: 1, X: 1.91, Y: 1.91, Azimuth: 45.00

Time: 2.80, UAV: 1, X: 1.98, Y: 1.98, Azimuth: 45.00

Time: 2.90, UAV: 1, X: 2.05, Y: 2.05, Azimuth: 45.00

Time: 3.00, UAV: 1, X: 2.12, Y: 2.12, Azimuth: 45.00

Time: 3.10, UAV: 1, X: 2.19, Y: 2.19, Azimuth: 45.00

Time: 3.20, UAV: 1, X: 2.26, Y: 2.26, Azimuth: 45.00

Time: 3.30, UAV: 1, X: 2.33, Y: 2.33, Azimuth: 45.00

Time: 3.40, UAV: 1, X: 2.40, Y: 2.40, Azimuth: 45.00

Time: 3.50, UAV: 1, X: 2.47, Y: 2.47, Azimuth: 45.00

Time: 3.60, UAV: 1, X: 2.55, Y: 2.55, Azimuth: 45.00

Time: 3.70, UAV: 1, X: 2.62, Y: 2.62, Azimuth: 45.00

Time: 3.80, UAV: 1, X: 2.69, Y: 2.69, Azimuth: 45.00

Time: 3.90, UAV: 1, X: 2.76, Y: 2.76, Azimuth: 45.00

Time: 4.00, UAV: 1, X: 2.83, Y: 2.83, Azimuth: 45.00

Time: 4.10, UAV: 1, X: 2.90, Y: 2.90, Azimuth: 45.00

Time: 4.20, UAV: 1, X: 2.97, Y: 2.97, Azimuth: 45.00

Time: 4.30, UAV: 1, X: 3.04, Y: 3.04, Azimuth: 45.00

Time: 4.40, UAV: 1, X: 3.11, Y: 3.11, Azimuth: 45.00

Time: 4.50, UAV: 1, X: 3.18, Y: 3.18, Azimuth: 45.00

Time: 4.60, UAV: 1, X: 3.25, Y: 3.25, Azimuth: 45.00

Time: 4.70, UAV: 1, X: 3.32, Y: 3.32, Azimuth: 45.00

