Time: 0.00, UAV: 3, X: 10.00, Y: 20.00, Azimuth: 30.00

Time: 1.00, UAV: 3, X: 20.83, Y: 26.25, Azimuth: 30.00

Time: 2.00, UAV: 3, X: 31.65, Y: 32.50, Azimuth: 30.00

Time: 3.00, UAV: 3, X: 42.48, Y: 38.75, Azimuth: 30.00

Time: 4.00, UAV: 3, X: 53.30, Y: 45.00, Azimuth: 30.00

Time: 5.00, UAV: 3, X: 64.13, Y: 51.25, Azimuth: 30.00

Time: 6.00, UAV: 3, X: 74.95, Y: 57.50, Azimuth: 30.00

Time: 7.00, UAV: 3, X: 85.78, Y: 63.75, Azimuth: 30.00

Time: 8.00, UAV: 3, X: 96.60, Y: 70.00, Azimuth: 30.00

Time: 9.00, UAV: 3, X: 84.45, Y: 67.07, Azimuth: 193.56

Time: 10.00, UAV: 3, X: 72.30, Y: 64.14, Azimuth: 193.56

Time: 11.00, UAV: 3, X: 60.15, Y: 61.20, Azimuth: 193.56

Time: 12.00, UAV: 3, X: 48.00, Y: 58.27, Azimuth: 193.56

Time: 13.00, UAV: 3, X: 35.85, Y: 55.34, Azimuth: 193.56

Time: 14.00, UAV: 3, X: 40.54, Y: 63.84, Azimuth: 212.55

Time: 15.00, UAV: 3, X: 31.26, Y: 71.96, Azimuth: 245.11

Time: 16.00, UAV: 3, X: 19.07, Y: 73.80, Azimuth: 277.66

Time: 17.00, UAV: 3, X: 7.79, Y: 68.80, Azimuth: 310.22

Time: 18.00, UAV: 3, X: 0.99, Y: 58.52, Azimuth: 342.77

Time: 19.00, UAV: 3, X: 0.78, Y: 46.18, Azimuth: 15.33

Time: 20.00, UAV: 3, X: 7.25, Y: 35.68, Azimuth: 47.88

Time: 21.00, UAV: 3, X: 18.34, Y: 30.31, Azimuth: 80.44

Time: 22.00, UAV: 3, X: 30.59, Y: 31.75, Azimuth: 112.99

Time: 23.00, UAV: 3, X: 40.14, Y: 39.55, Azimuth: 145.54

Time: 24.00, UAV: 3, X: 43.99, Y: 51.27, Azimuth: 178.10

Time: 25.00, UAV: 3, X: 40.93, Y: 63.22, Azimuth: 210.65

Time: 26.00, UAV: 3, X: 31.92, Y: 71.64, Azimuth: 243.21

Time: 27.00, UAV: 3, X: 19.79, Y: 73.89, Azimuth: 275.76

Time: 28.00, UAV: 3, X: 8.36, Y: 69.26, Azimuth: 308.32

Time: 29.00, UAV: 3, X: 1.21, Y: 59.21, Azimuth: 340.87

Time: 30.00, UAV: 3, X: 0.60, Y: 46.89, Azimuth: 13.43

Time: 31.00, UAV: 3, X: 6.71, Y: 36.18, Azimuth: 45.98

Time: 32.00, UAV: 3, X: 17.63, Y: 30.44, Azimuth: 78.53

Time: 33.00, UAV: 3, X: 29.92, Y: 31.47, Azimuth: 111.09

Time: 34.00, UAV: 3, X: 39.72, Y: 38.96, Azimuth: 143.64

Time: 35.00, UAV: 3, X: 43.95, Y: 50.54, Azimuth: 176.20

Time: 36.00, UAV: 3, X: 41.29, Y: 62.58, Azimuth: 208.75

Time: 37.00, UAV: 3, X: 32.56, Y: 71.30, Azimuth: 241.31

Time: 38.00, UAV: 3, X: 20.52, Y: 73.95, Azimuth: 273.86

Time: 39.00, UAV: 3, X: 8.94, Y: 69.70, Azimuth: 306.41

Time: 40.00, UAV: 3, X: 1.47, Y: 59.90, Azimuth: 338.97

Time: 41.00, UAV: 3, X: 0.44, Y: 47.60, Azimuth: 11.52

Time: 42.00, UAV: 3, X: 6.20, Y: 36.70, Azimuth: 44.08

Time: 43.00, UAV: 3, X: 16.91, Y: 30.60, Azimuth: 76.63

Time: 44.00, UAV: 3, X: 29.23, Y: 31.22, Azimuth: 109.19

Time: 45.00, UAV: 3, X: 39.27, Y: 38.38, Azimuth: 141.74

Time: 46.00, UAV: 3, X: 43.89, Y: 49.81, Azimuth: 174.30

Time: 47.00, UAV: 3, X: 41.63, Y: 61.94, Azimuth: 206.85

Time: 48.00, UAV: 3, X: 33.20, Y: 70.94, Azimuth: 239.40

Time: 49.00, UAV: 3, X: 21.25, Y: 73.99, Azimuth: 271.96

Time: 50.00, UAV: 3, X: 9.53, Y: 70.13, Azimuth: 304.51

Time: 51.00, UAV: 3, X: 1.74, Y: 60.57, Azimuth: 337.07

Time: 52.00, UAV: 3, X: 0.31, Y: 48.32, Azimuth: 9.62

Time: 53.00, UAV: 3, X: 5.70, Y: 37.23, Azimuth: 42.18

Time: 54.00, UAV: 3, X: 16.21, Y: 30.78, Azimuth: 74.73

Time: 55.00, UAV: 3, X: 28.54, Y: 30.99, Azimuth: 107.29

Time: 56.00, UAV: 3, X: 38.81, Y: 37.81, Azimuth: 139.84

Time: 57.00, UAV: 3, X: 43.81, Y: 49.09, Azimuth: 172.39

Time: 58.00, UAV: 3, X: 41.95, Y: 61.28, Azimuth: 204.95

Time: 59.00, UAV: 3, X: 33.82, Y: 70.56, Azimuth: 237.50

Time: 60.00, UAV: 3, X: 21.98, Y: 74.00, Azimuth: 270.06

